d6a603c was Danne Connolly, 2 days ago, message: First commit
7b892e2 was Taylor Otwell, 2 years, 2 months ago, message: Allow session encryption.
5ce23f1 was Taylor Otwell, 2 years, 2 months ago, message: Setup some stuff for config caching.
ef6dc63 was yuuki takezawa, 2 years, 2 months ago, message: fixed
49cbb23 was Taylor Otwell, 2 years, 2 months ago, message: Sample database config.
8f6db28 was Taylor Otwell, 2 years, 2 months ago, message: Add connection settings to cache config.
8d9bbc1 was Taylor Otwell, 2 years, 2 months ago, message: Update cache configuration.
3646070 was Taylor Otwell, 2 years, 2 months ago, message: Add expire option by default.
e2b7f92 was Taylor Otwell, 2 years, 2 months ago, message: Merge pull request #3046 from driesvints/feature/phpspec-config-file
78b9b7d was Taylor Otwell, 2 years, 2 months ago, message: Use string "true".
93434d8 was Taylor Otwell, 2 years, 2 months ago, message: Use the "Env" helper which has boolean support.
a6a0aab was Taylor Otwell, 2 years, 2 months ago, message: Merge pull request #3188 from anhskohbo/patch-3
ac1e639 was Nguyễn Văn Ánh, 2 years, 2 months ago, message:  Fixed artisan:optimize crash
01adbfb was Taylor Otwell, 2 years, 2 months ago, message: Merge pull request #3187 from GrahamForks/autoload-dev
931f0eb was Graham Campbell, 2 years, 2 months ago, message: Make use of autoload-dev
7a8b225 was Taylor Otwell, 2 years, 2 months ago, message: Update value.
b1dc129 was Taylor Otwell, 2 years, 2 months ago, message: Merge pull request #3132 from winglian/develop
83a5602 was Taylor Otwell, 2 years, 2 months ago, message: Use environment options in database config.
ce48990 was Taylor Otwell, 2 years, 2 months ago, message: Tweak some paths again.
47971fb was Taylor Otwell, 2 years, 2 months ago, message: Merge pull request #3176 from slik/bugfix/artisan_optimize_crash
fb4325c was slik, 2 years, 2 months ago, message: fixed artisan optimize crash
9d3a582 was Taylor Otwell, 2 years, 2 months ago, message: Fix database path.
532297c was Taylor Otwell, 2 years, 2 months ago, message: Work on default project structure.
0f88129 was Taylor Otwell, 2 years, 2 months ago, message: Get rid of resources directory. Unnecessary.
2d6b5c2 was Taylor Otwell, 2 years, 2 months ago, message: Delete directory.
92f1d87 was Taylor Otwell, 2 years, 2 months ago, message: Cleaning up a few things.
6db1e29 was Taylor Otwell, 2 years, 2 months ago, message: Merge branch 'config' into develop
9309699 was Taylor Otwell, 2 years, 2 months ago, message: Tweaking setup.
6dfafcc was Taylor Otwell, 2 years, 2 months ago, message: Merge pull request #3148 from dannyvink/develop
f86c94b was Taylor Otwell, 2 years, 2 months ago, message: Merge pull request #3151 from gregoryduckworth/patch-1
48d1a0c was Taylor Otwell, 2 years, 2 months ago, message: working on some configuration changes.
2fc313b was Taylor Otwell, 2 years, 2 months ago, message: Clarify the type of response we're looking for.
9db97c3 was Taylor Otwell, 2 years, 2 months ago, message: Tweak a few error handling things.
35b3e8f was Taylor Otwell, 2 years, 2 months ago, message: Fix label name.
8ce0d26 was Taylor Otwell, 2 years, 2 months ago, message: Set fillable array.
cb484a9 was Taylor Otwell, 2 years, 3 months ago, message: fix conflicts.
4afcd8c was Taylor Otwell, 2 years, 3 months ago, message: Merge pull request #3136 from melvinsh/patch-1
662bc27 was Taylor Otwell, 2 years, 3 months ago, message: Merge pull request #3153 from Codeklopper/patch-2
57a6e1c was Taylor Otwell, 2 years, 3 months ago, message: Remove properties.
5194a43 was Taylor Otwell, 2 years, 3 months ago, message: Add a note to the AppServiceProvider.
6b939c4 was Taylor Otwell, 2 years, 3 months ago, message: Tweak some wording.
50bdd8e was Taylor Otwell, 2 years, 3 months ago, message: Some wording.
7afa279 was Taylor Otwell, 2 years, 3 months ago, message: Tweak some wording.
7ba858d was Taylor Otwell, 2 years, 3 months ago, message: Working on some customization.
9083f48 was Taylor Otwell, 2 years, 3 months ago, message: Working on removing authentication boilerplate.
e0afdf4 was Taylor Otwell, 2 years, 3 months ago, message: Change some CSS.
e05d744 was Codeklopper, 2 years, 3 months ago, message: Unused exception reference
e558ac6 was Taylor Otwell, 2 years, 3 months ago, message: Change wording.
11cf23b was Codeklopper, 2 years, 3 months ago, message: Unused exception reference
387156f was Greg Duckworth, 2 years, 3 months ago, message: Keep layout in line with other new pages
6f7a0c3 was Taylor Otwell, 2 years, 3 months ago, message: Change wording.
da0e510 was Taylor Otwell, 2 years, 3 months ago, message: Cleaning up auth code.
1dd13fc was Taylor Otwell, 2 years, 3 months ago, message: Craft
a515125 was Taylor Otwell, 2 years, 3 months ago, message: Go exploring.
f427384 was Taylor Otwell, 2 years, 3 months ago, message: Cleaning up view.
6cb2e54 was Taylor Otwell, 2 years, 3 months ago, message: No borders around circles.
c03b6c8 was Taylor Otwell, 2 years, 3 months ago, message: Fix spacing a bit.
ff08741 was Taylor Otwell, 2 years, 3 months ago, message: Spacing.
e4c8025 was Taylor Otwell, 2 years, 3 months ago, message: Tweak spacing a hair.
9620767 was Taylor Otwell, 2 years, 3 months ago, message: Change wording.
9aa3b08 was Taylor Otwell, 2 years, 3 months ago, message: Remove space.
7a5bf6f was Taylor Otwell, 2 years, 3 months ago, message: Merge branch 'develop' of github.com:laravel/laravel into develop
75e2aca was Taylor Otwell, 2 years, 3 months ago, message: Working on default layout.
799e630 was Jeffrey Way, 2 years, 3 months ago, message: Add a couple quick mobile tweaks
ba1bff0 was Jeffrey Way, 2 years, 3 months ago, message: Work on welcome page
d4c2ecc was Jeffrey Way, 2 years, 3 months ago, message: Work on welcome page
3c0a1cf was Taylor Otwell, 2 years, 3 months ago, message: Use home as view.
372a6d4 was Taylor Otwell, 2 years, 3 months ago, message: List null driver in list of queue drivers.
16357ad was Taylor Otwell, 2 years, 3 months ago, message: Authorize all requets.
d306965 was Taylor Otwell, 2 years, 3 months ago, message: Organize requests differently.
634c96d was Taylor Otwell, 2 years, 3 months ago, message: Rename dashboard to home.
7a7e366 was Taylor Otwell, 2 years, 3 months ago, message: Simplify validation on register stuff.
4803d6c was Taylor Otwell, 2 years, 3 months ago, message: Moe default requests.
a7fe42c was Danny Vink, 2 years, 3 months ago, message: Fixed register & reset labels.
a9c9b20 was Taylor Otwell, 2 years, 3 months ago, message: Remove comment.
da9dd7d was Taylor Otwell, 2 years, 3 months ago, message: Respect remember me setting.
769f248 was Taylor Otwell, 2 years, 3 months ago, message: Fixed some fonts.
f8aeffc was Taylor Otwell, 2 years, 3 months ago, message: Tweak welcome view.
e0c5459 was Taylor Otwell, 2 years, 3 months ago, message: Include built scripts by default so things work out of box.
163e516 was Taylor Otwell, 2 years, 3 months ago, message: Merge branch 'develop' of github.com:laravel/laravel into develop
fa978d0 was Taylor Otwell, 2 years, 3 months ago, message: Working on default app structure. Login views.
b225276 was Jeffrey Way, 2 years, 3 months ago, message: Use explicit Bower publishing
b73e127 was Taylor Otwell, 2 years, 3 months ago, message: Just use one controller call.
9107969 was Taylor Otwell, 2 years, 3 months ago, message: Trailing EOF break.
70a8065 was Jeffrey Way, 2 years, 3 months ago, message: Add starter Sass file
059b0ba was Taylor Otwell, 2 years, 3 months ago, message: Fixing a few things.
3a47d70 was Jeffrey Way, 2 years, 3 months ago, message: Fix alignment
3179882 was Jeffrey Way, 2 years, 3 months ago, message: Add Bower
ccaa7b1 was Jeffrey Way, 2 years, 3 months ago, message: Fix Indentation
3a2dd31 was Taylor Otwell, 2 years, 3 months ago, message: Fix comment.
32fd6ca was Taylor Otwell, 2 years, 3 months ago, message: Remove comment.
80fb944 was Taylor Otwell, 2 years, 3 months ago, message: Remove the server file.
91f1748 was Taylor Otwell, 2 years, 3 months ago, message: Stub SES configuration.
f9d4bcd was Taylor Otwell, 2 years, 3 months ago, message: Change default Elixir file.
29ad85d was Taylor Otwell, 2 years, 3 months ago, message: Change wording.
abaee25 was Taylor Otwell, 2 years, 3 months ago, message: Add clarification to comment.
2e0afb9 was Taylor Otwell, 2 years, 3 months ago, message: Fix a few comments for wording.
994e099 was Taylor Otwell, 2 years, 3 months ago, message: Update syntax.
8b70eab was Taylor Otwell, 2 years, 3 months ago, message: Update the app skeleton.
6b60dc6 was Taylor Otwell, 2 years, 3 months ago, message: Fix handler.
536fe29 was Taylor Otwell, 2 years, 3 months ago, message: Remove extra semicolon.
313abe6 was Taylor Otwell, 2 years, 3 months ago, message: Use real command name.
71a8e00 was Taylor Otwell, 2 years, 3 months ago, message: Merge branch 'schedule' into develop
a7e6a89 was Taylor Otwell, 2 years, 3 months ago, message: Add scheduled commands.
06886b7 was Melvin Lammerts, 2 years, 3 months ago, message: Removed unnecessary 'else' statement
9a0612f was Taylor Otwell, 2 years, 3 months ago, message: Separate namespaces for when app is named.
858bf03 was Wing Lian, 2 years, 3 months ago, message: use APP_KEY from environment if available for the secret key
e3e7cc4 was Taylor Otwell, 2 years, 3 months ago, message: Set the root controller namespace.
ca2f022 was Taylor Otwell, 2 years, 3 months ago, message: Rename middleware to more "action" words.
d2aebd2 was Taylor Otwell, 2 years, 3 months ago, message: Rename middleware.
e02e345 was Taylor Otwell, 2 years, 3 months ago, message: Update middleware reference.
a98c0d6 was Taylor Otwell, 2 years, 3 months ago, message: Move middleware.
97287c8 was Taylor Otwell, 2 years, 3 months ago, message: Update middleware.
2cb7450 was Taylor Otwell, 2 years, 3 months ago, message: modify contract.
6e0a560 was Taylor Otwell, 2 years, 3 months ago, message: Update middleware list.
bdb8392 was Taylor Otwell, 2 years, 3 months ago, message: Check type of token.
ba0cf2a was Taylor Otwell, 2 years, 3 months ago, message: Check type of token as well.
0a01aca was Taylor Otwell, 2 years, 3 months ago, message: Use the console kernel.
f661221 was Taylor Otwell, 2 years, 3 months ago, message: Bootstrap the application when testing.
55965c7 was Taylor Otwell, 2 years, 3 months ago, message: Rename.
929e638 was Taylor Otwell, 2 years, 3 months ago, message: Rename traits.
3c9d67a was Taylor Otwell, 2 years, 3 months ago, message: Remove some stuff from .gitignore.
46d1a27 was Taylor Otwell, 2 years, 3 months ago, message: Terminate the request after sending.
4b2694c was Taylor Otwell, 2 years, 3 months ago, message: Fix file.
33efefa was Taylor Otwell, 2 years, 3 months ago, message: Fix redirects.
c17925b was Taylor Otwell, 2 years, 3 months ago, message: Merge pull request #3108 from pascalschwientek/patch-1
754ea26 was Taylor Otwell, 2 years, 3 months ago, message: Tweak wording.
0c3f1c9 was Taylor Otwell, 2 years, 3 months ago, message: Merge pull request #3118 from miclf/patch-1
10452da was Taylor Otwell, 2 years, 3 months ago, message: Merge pull request #3112 from nblackburn/patch-1
fcca359 was Taylor Otwell, 2 years, 3 months ago, message: Working on middleware.
d5e5947 was Taylor Otwell, 2 years, 3 months ago, message: Add to compile.
a8e4f23 was Taylor Otwell, 2 years, 3 months ago, message: Merge branch 'config' into develop
a280988 was Taylor Otwell, 2 years, 3 months ago, message: Stub out an app service provider.
a59a141 was Taylor Otwell, 2 years, 3 months ago, message: Merge pull request #3106 from hannesvdvreken/patch-2
c494e83 was Taylor Otwell, 2 years, 3 months ago, message: Merge pull request #3114 from matism/develop
70d516b was Michaël Lecerf, 2 years, 3 months ago, message: Prevent TokenMismatchException for HTTP OPTIONS requests
27aa85c was Taylor Otwell, 2 years, 3 months ago, message: Remove exception handler. Move to core.
1209ce7 was Taylor Otwell, 2 years, 3 months ago, message: Working on exception handling. WIP.
3c614ac was Taylor Otwell, 2 years, 3 months ago, message: Working on logging.
9bc7c00 was Taylor Otwell, 2 years, 3 months ago, message: Add logs directory.
e1b4910 was Mathias, 2 years, 3 months ago, message: new logout-method naming
007040e was Taylor Otwell, 2 years, 3 months ago, message: Remove scan arrays.
ed4b97b was Taylor Otwell, 2 years, 3 months ago, message: Working on structure.
c398cda was Taylor Otwell, 2 years, 3 months ago, message: Tweak default request setup.
5d8af60 was Taylor Otwell, 2 years, 3 months ago, message: Remove extra line.
0ee0c43 was Taylor Otwell, 2 years, 3 months ago, message: Changing default routing setup.
08c6996 was Nathaniel Blackburn, 2 years, 4 months ago, message: Update RouteServiceProvider.php
68009bb was Nathaniel Blackburn, 2 years, 4 months ago, message: Updated CSRF middleware reference
aa8bf8a was Taylor Otwell, 2 years, 4 months ago, message: Bind the kernels as singletons.
e49aaf8 was Pascal Schwientek, 2 years, 4 months ago, message: minor spelling/grammar corrections
3dfc5fc was Hannes Van De Vreken, 2 years, 4 months ago, message: bootstrap/paths.php disappeared
d70914b was Jeffrey Way, 2 years, 4 months ago, message: Get latest version of Elixir for now
657033a was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3087 from fungku/develop
3a84475 was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3091 from GrahamCampbell/patch-1
36e0014 was Taylor Otwell, 2 years, 4 months ago, message: Fix a few password reminder things.
c10ad62 was Taylor Otwell, 2 years, 4 months ago, message: Remove log service provider since it is part of Bootstrap process.
9aed9de was Taylor Otwell, 2 years, 4 months ago, message: Tweak how console commands are registered.
ec9edec was Taylor Otwell, 2 years, 4 months ago, message: Rename CSRF middleware.
2542829 was Taylor Otwell, 2 years, 4 months ago, message: Rename auth middlewares.
93b9415 was Taylor Otwell, 2 years, 4 months ago, message: Update middleware.
5ecc099 was Taylor Otwell, 2 years, 4 months ago, message: Rename file.
22612df was Taylor Otwell, 2 years, 4 months ago, message: Middleware.
bcc539e was Taylor Otwell, 2 years, 4 months ago, message: Move bootstraps to base classes.
4301348 was Taylor Otwell, 2 years, 4 months ago, message: Large refactor of HTTP and Console stack.
834cb75 was Taylor Otwell, 2 years, 4 months ago, message: Fix spacing.
0cd9ee1 was Taylor Otwell, 2 years, 4 months ago, message: Extend controller by default.
133b798 was Graham Campbell, 2 years, 4 months ago, message: Fixed RouteServiceProvider docblocks
bc593c1 was Taylor Otwell, 2 years, 4 months ago, message: Demo how to include a routes file.
0ed0310 was Taylor Otwell, 2 years, 4 months ago, message: Tweak wording.
d3bf13b was Taylor Otwell, 2 years, 4 months ago, message: Working on routing and providers.
5bb0752 was Taylor Otwell, 2 years, 4 months ago, message: These annotations are no longer needed.
c0019c6 was Taylor Otwell, 2 years, 4 months ago, message: Add CSRF middleware to main app stack.
6a9516f was Ryan Winchester, 2 years, 4 months ago, message: Rename Gulpfile.js to gulpfile.js
001ba10 was Jeffrey Way, 2 years, 4 months ago, message: Adjust for Elixir move to npm
95e9346 was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3081 from alnutile/patch-5
f5b4e2d was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3082 from webpatser/develop
a9bddfc was Taylor Otwell, 2 years, 4 months ago, message: Add error binder.
6a8fd61 was Christoph Kempen, 2 years, 4 months ago, message: added private setting to package.json so buildservers wont fail on npm warning
dae2db0 was Alfred Nutile, 2 years, 4 months ago, message: [bug] Not sure but it seems this one should be
75393db was Taylor Otwell, 2 years, 4 months ago, message: Rename a few things.
57bad0a was Taylor Otwell, 2 years, 4 months ago, message: Shorten sentence.
6eefa4e was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3078 from anvanza/patch-1
31296e6 was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3079 from mayoz/develop
ce161ee was Sercan Çakır, 2 years, 4 months ago, message: Update view.php
d37ee5a was Taylor Otwell, 2 years, 4 months ago, message: Ignore node_modules
50b6b32 was Taylor Otwell, 2 years, 4 months ago, message: Change some method names.
f009ff7 was anvanza, 2 years, 4 months ago, message: Update package.json
da13639 was Taylor Otwell, 2 years, 4 months ago, message: Fix namespace.
546c81a was Taylor Otwell, 2 years, 4 months ago, message: Fix some password reset stuff.
f2279c0 was Taylor Otwell, 2 years, 4 months ago, message: Scaffold authentication as default example.
c672286 was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3061 from antonioribeiro/patch-2
18301a1 was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3062 from jlaswell/patch-1
c39679b was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3065 from johnhout/patch-1
6e438cf was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3070 from alexsoft/patch-1
97d95ab was Taylor Otwell, 2 years, 4 months ago, message: Add post-install cmds for routes and events.
060e644 was Jeffrey Way, 2 years, 4 months ago, message: Default Gulpfile example to Sass
ead41d2 was Alex Plekhanov, 2 years, 4 months ago, message: Add missing gulp-utils package to package.json
6c0b791 was John in 't Hout, 2 years, 4 months ago, message: Update CsrfMiddleware.php
409fa57 was John in 't Hout, 2 years, 4 months ago, message: Update CsrfMiddleware.php
7120fbb was Taylor Otwell, 2 years, 4 months ago, message: Add elixir to dependencies.
a2dacbb was Taylor Otwell, 2 years, 4 months ago, message: Something special.
52e68f9 was Taylor Otwell, 2 years, 4 months ago, message: Fix check.
ef855c1 was Taylor Otwell, 2 years, 4 months ago, message: Tweak environment file settings.
714f6a5 was Taylor Otwell, 2 years, 4 months ago, message: Fix method call.
e5e7af8 was Taylor Otwell, 2 years, 4 months ago, message: Fix check.
4d0de14 was Taylor Otwell, 2 years, 4 months ago, message: tweaks CSRF filter.
75cc5a7 was John in 't Hout, 2 years, 4 months ago, message: Added @throws TokenMismatchException
568d06d was John Laswell, 2 years, 4 months ago, message: MaintenanceMiddleware contract
f17ac36 was Antonio Carlos Ribeiro, 2 years, 4 months ago, message: Remove unused Route
e168685 was Taylor Otwell, 2 years, 4 months ago, message: Add example configuration file.
5a34c60 was Taylor Otwell, 2 years, 4 months ago, message: Simplify environment loading.
6980d95 was Taylor Otwell, 2 years, 4 months ago, message: Fix a few things.
535889f was Taylor Otwell, 2 years, 4 months ago, message: Update gitignore file.
84b8a7c was Taylor Otwell, 2 years, 4 months ago, message: Remove from compile list.
17ac063 was Taylor Otwell, 2 years, 4 months ago, message: Update middleware.
fbd5a9e was Taylor Otwell, 2 years, 4 months ago, message: Fix typo.
b8f3dd6 was Taylor Otwell, 2 years, 4 months ago, message: Working on middle wares.
43e8c60 was Taylor Otwell, 2 years, 4 months ago, message: Write a base app service provider.
d2937ea was Taylor Otwell, 2 years, 4 months ago, message: Working on stack.
2893433 was Taylor Otwell, 2 years, 4 months ago, message: Add application stack to app server provider.
ab53517 was Taylor Otwell, 2 years, 4 months ago, message: No need to extend controller.
8a2f8bb was Taylor Otwell, 2 years, 4 months ago, message: Working on a few files.
65dce4d was Taylor Otwell, 2 years, 4 months ago, message: Shorten type-hint in docblock.
3cb7118 was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3045 from robinmitra/develop
5eb4d0a was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3048 from lucidlogic/master
2ac4ce6 was Taylor Otwell, 2 years, 4 months ago, message: Merge pull request #3052 from antonioribeiro/patch-1
8720d7d was Taylor Otwell, 2 years, 4 months ago, message: Remove log file.
800cdac was Taylor Otwell, 2 years, 4 months ago, message: Work on paths.
7e781b3 was Taylor Otwell, 2 years, 4 months ago, message: Stub file.
da7443a was Taylor Otwell, 2 years, 4 months ago, message: Tweak some paths.
e82a78c was Antonio Carlos Ribeiro, 2 years, 5 months ago, message: Remove unused Dispatcher
0a45098 was Taylor Otwell, 2 years, 5 months ago, message: Include an empty assets directory.
cbfa5af was Gareth Edwards, 2 years, 5 months ago, message: minor spelling/grammar corrections
e700cd7 was Taylor Otwell, 2 years, 5 months ago, message: Use new providers.
ab7ba39 was Taylor Otwell, 2 years, 5 months ago, message: Add an event service provider.
2b8311f was Dries Vints, 2 years, 5 months ago, message: Add PHPSpec config file and dependency
2167722 was Robin Mita, 2 years, 5 months ago, message: Update doc block for LogServiceProvider
2889a26 was Taylor Otwell, 2 years, 5 months ago, message: Ignore idea folders.
9f81d4d was Taylor Otwell, 2 years, 5 months ago, message: Simplify things.
cd37f40 was Taylor Otwell, 2 years, 5 months ago, message: Use helpers.
63edcad was Taylor Otwell, 2 years, 5 months ago, message: Merge pull request #3036 from lucasmichot/short-notation-array
1edb0eb was Taylor Otwell, 2 years, 5 months ago, message: Merge pull request #3035 from danharper/patch-1
8f3d0ed was Taylor Otwell, 2 years, 5 months ago, message: Inject router into before method.
692c966 was Taylor Otwell, 2 years, 5 months ago, message: Let router be inherited by route script.
945d4f5 was Lucas Michot, 2 years, 5 months ago, message: Convert last long notation array to short notation
3bb7a97 was Dan Harper, 2 years, 5 months ago, message: Missing Authenticator import in GuestFilter
076d86b was Taylor Otwell, 2 years, 5 months ago, message: Simplifying some filters.
986c964 was Taylor Otwell, 2 years, 5 months ago, message: Merge pull request #3034 from crynobone/patch/tabs
6abdb15 was crynobone, 2 years, 5 months ago, message: Use tabs, always.
d45ff68 was Taylor Otwell, 2 years, 5 months ago, message: Merge branch 'develop' of github.com:laravel/laravel into develop
f9c3754 was Taylor Otwell, 2 years, 5 months ago, message: More work on filters.
34ee58a was Taylor Otwell, 2 years, 5 months ago, message: Do some more injection on filters.
fbd663c was Taylor Otwell, 2 years, 5 months ago, message: Merge pull request #3031 from GrahamCampbell/cs
dfaa81c was Graham Campbell, 2 years, 5 months ago, message: Removed a trailing space
37f1e77 was Graham Campbell, 2 years, 5 months ago, message: Added missing new lines at eof
5da4d51 was Paulo Freitas, 2 years, 5 months ago, message: Add support for configuring AWS S3 region.
4e5a151 was Taylor Otwell, 2 years, 5 months ago, message: Embrace contracts.
7c8b8e7 was Taylor Otwell, 2 years, 5 months ago, message: Make Artisan service provider be deferred.
100f727 was Taylor Otwell, 2 years, 5 months ago, message: Merge pull request #3021 from hernandev/develop
4886047 was Diego Hernandes, 2 years, 5 months ago, message: Fix typo on config namespaces.controller to namespace.controllers
bfd5323 was Taylor Otwell, 2 years, 5 months ago, message: Merge pull request #3011 from tyloo/patch-1
13d19d6 was Julien Bonvarlet, 2 years, 5 months ago, message: Fix dependency
eff1f84 was Taylor Otwell, 2 years, 5 months ago, message: Remove extra lines.
1f738b1 was Taylor Otwell, 2 years, 5 months ago, message: Fix readme.
0f5e0f8 was Taylor Otwell, 2 years, 5 months ago, message: Merge pull request #2983 from ajschmaltz/patch-1
35d2be4 was Taylor Otwell, 2 years, 5 months ago, message: Merge pull request #2985 from brnlbs/develop
464c595 was Taylor Otwell, 2 years, 5 months ago, message: Merge pull request #2991 from alnutile/patch-3
dd42bef was Taylor Otwell, 2 years, 5 months ago, message: Working on read me.
5eaaadc was Alfred Nutile, 2 years, 5 months ago, message: [bug] Auth filter still redirects to /login not auth/login
c3c93cf was Brian, 2 years, 5 months ago, message: Updated Eloquent to Eloquent\Model
2fb780b was Taylor Otwell, 2 years, 5 months ago, message: Merge pull request #2981 from jasonlewis/fix/auth-csrf-filters
c993970 was ajschmaltz, 2 years, 5 months ago, message: Spellcheck
5bdf965 was Jason Lewis, 2 years, 5 months ago, message: Update the docblock for the CsrfFilter.
56a1bae was Jason Lewis, 2 years, 5 months ago, message: Fix parameters for the AuthFilter.
962ae1b was Taylor Otwell, 2 years, 5 months ago, message: Merge pull request #2979 from serhatdurum/develop
8b18b40 was Taylor Otwell, 2 years, 5 months ago, message: Merge pull request #2980 from driesvints/feature/dont-extend-class-aliases
2ddf39f was Dries Vints, 2 years, 6 months ago, message: Remove classes from aliases list
2b04647 was Taylor Otwell, 2 years, 6 months ago, message: Remove a few providers.
aa9015c was Taylor Otwell, 2 years, 6 months ago, message: Use working directory.
a27f748 was Taylor Otwell, 2 years, 6 months ago, message: Extend model.
6fe851c was Taylor Otwell, 2 years, 6 months ago, message: Import facade.
a7f3512 was Taylor Otwell, 2 years, 6 months ago, message: Set root controller namespace.
2f998b2 was Taylor Otwell, 2 years, 6 months ago, message: Settle on Facades in service providers.
45f0b4f was Taylor Otwell, 2 years, 6 months ago, message: Use injection here. Blah, can't decide.
c9ea1cb was Taylor Otwell, 2 years, 6 months ago, message: Fix doc blocks.
01e97e1 was serhatdurum, 2 years, 6 months ago, message: Convert language PHP 5.4 arrays.
5f5cc82 was serhatdurum, 2 years, 6 months ago, message: Convert language PHP 5.4 arrays.
a1547b3 was serhatdurum, 2 years, 6 months ago, message: Convert language PHP 5.4 arrays.
bde518b was Taylor Otwell, 2 years, 6 months ago, message: Use App facade.
198b54d was Taylor Otwell, 2 years, 6 months ago, message: Simplify providers.
78c932f was Taylor Otwell, 2 years, 6 months ago, message: Working on a few changes.
fdba65c was Taylor Otwell, 2 years, 6 months ago, message: Convert arrays.
76c84d8 was Taylor Otwell, 2 years, 6 months ago, message: Convert configuration PHP 5.4 arrays.
a204045 was Taylor Otwell, 2 years, 6 months ago, message: Typo.
3ade971 was Taylor Otwell, 2 years, 6 months ago, message: Add filesystem configuration.
d6719eb was Taylor Otwell, 2 years, 6 months ago, message: Fix contracts.
3e9e9c6 was Taylor Otwell, 2 years, 6 months ago, message: Merge branch 'master' into develop
462b911 was Taylor Otwell, 2 years, 6 months ago, message: Merge pull request #2960 from josezenem/master
3ee17a9 was Taylor Otwell, 2 years, 6 months ago, message: Merge branch 'master' into develop
b363f3d was Taylor Otwell, 2 years, 6 months ago, message: Merge pull request #2964 from cjaoude/master
f6b347b was Taylor Otwell, 2 years, 6 months ago, message: Add language line.
5b1e511 was Taylor Otwell, 2 years, 6 months ago, message: Merge branch 'master' into develop
55053de was Taylor Otwell, 2 years, 6 months ago, message: Merge pull request #2971 from barryvdh/patch-3
e52be1f was Taylor Otwell, 2 years, 6 months ago, message: Merge pull request #2974 from jpavon/patch-2
ca3c8c3 was Taylor Otwell, 2 years, 6 months ago, message: Remove unnecessary alias.
35df36f was Taylor Otwell, 2 years, 6 months ago, message: Fix slashes.
c9fb1c9 was Taylor Otwell, 2 years, 6 months ago, message: Fixing a few things. Namespace configuration.
a68933d was Taylor Otwell, 2 years, 6 months ago, message: Remove some service providers and aliases.
4204337 was Taylor Otwell, 2 years, 6 months ago, message: Remove remote provider.
479461e was Julio Pavón, 2 years, 6 months ago, message: Simplify .gitignore's .env
c4bb1b8 was Barry vd. Heuvel, 2 years, 6 months ago, message: Add type 'project' to composer.json
aeffa17 was Taylor Otwell, 2 years, 6 months ago, message: Fix path.
e7617ff was Taylor Otwell, 2 years, 6 months ago, message: Change how controller is aliased.
59289af was Taylor Otwell, 2 years, 6 months ago, message: Tweak where views and lang files are located.
838b20d was Taylor Otwell, 2 years, 6 months ago, message: Use facades.
2ab3d52 was Taylor Otwell, 2 years, 6 months ago, message: Add note.
695ee01 was Taylor Otwell, 2 years, 6 months ago, message: Merge pull request #2970 from crynobone/patch/phpunit
e084583 was crynobone, 2 years, 6 months ago, message: Move PHPUnit to require-dev and fixes directory references to tests.
cadc592 was Taylor Otwell, 2 years, 6 months ago, message: Update controller namespace.
eb4f536 was Taylor Otwell, 2 years, 6 months ago, message: Set console command name.
177d1eb was Taylor Otwell, 2 years, 6 months ago, message: Mega work on structure.
aae8ef3 was Taylor Otwell, 2 years, 6 months ago, message: Fix gitignore files.
61b67ef was Taylor Otwell, 2 years, 6 months ago, message: Merge pull request #2967 from crynobone/patch/update-gitignore
80a6055 was Taylor Otwell, 2 years, 6 months ago, message: Rename.
3ffbb5d was Taylor Otwell, 2 years, 6 months ago, message: Renaming folders.
79bcb45 was Taylor Otwell, 2 years, 6 months ago, message: Fix compile file.
a9a41d7 was Taylor Otwell, 2 years, 6 months ago, message: Update paths.
9aae50e was Taylor Otwell, 2 years, 6 months ago, message: Working on the default app structure.
da93563 was crynobone, 2 years, 6 months ago, message: Remove none existing files being referred in .gitignore
a5f4e74 was Taylor Otwell, 2 years, 6 months ago, message: Autoload the console.
2787585 was Taylor Otwell, 2 years, 6 months ago, message: Namespace change.
2649df1 was Taylor Otwell, 2 years, 6 months ago, message: Unused path.
ee6f47d was Taylor Otwell, 2 years, 6 months ago, message: Working on app structure.
262dec1 was Taylor Otwell, 2 years, 6 months ago, message: Add more paths.
9f31eed was Christopher Jaoude, 2 years, 6 months ago, message: Add missing 'reminders.reset' message.
c33453e was Taylor Otwell, 2 years, 6 months ago, message: Pull routes after booting application.
b0334fd was Taylor Otwell, 2 years, 6 months ago, message: Use a standard routes file by default.
